contig	kmers_bp	total_bp	chrom
BH4.00007907	1453	119556	EH23a.chrX
BH4.00006934	1274	36702	EH23a.chr1
BH4.00006452	1269	37920	EH23a.chr2
BH4.00004957	1258	38745	EH23a.chr5
BH4.00003260	1256	40516	EH23a.chr7
BH4.00002687	1226	33171	EH23a.chr1
BH4.00006169	1300	62811	EH23a.chrX
BH4.00006618	1284	54844	EH23a.chrX
BH4.00168123	1612	899130	EH23a.chr2
BH4.00007526	1536	539246	EH23a.chrX
BH4.00001250	1666	2705901	EH23a.chrX
BH4.00001289	1573	1217468	EH23a.chrX
BH4.00003334	1642	2463216	EH23a.chr5
BH4.00000829	1537	1015689	EH23a.chrX
BH4.00007093	1526	1025231	EH23a.chr2
BH4.00010520	1169	42423	EH23a.chr3
BH4.00004115	1151	42280	EH23a.chr3
BH4.00005141	1152	51595	EH23a.chr5
BH4.00002412	1401	639142	EH23a.chr7
BH4.00006018	1126	48236	EH23a.chr8
BH4.00006140	1087	37841	EH23a.chr4
BH4.00001741	1056	29567	EH23a.chr2
BH4.00001154	1079	40552	EH23a.chr1
BH4.00000744	1042	30399	EH23a.chr3
BH4.00000333	1448	1739959	EH23a.chrX
BH4.00004549	1020	25538	EH23a.chr7
BH4.00004994	1057	42251	EH23a.chr5
BH4.00004616	1057	42666	EH23a.chr3
BH4.00004908	1067	48456	EH23a.chrX
BH4.00004991	1027	34777	EH23a.chr6
BH4.00002463	1049	44486	EH23a.chr8
BH4.00021307	1027	36435	EH23a.chr5
BH4.00001488	1366	1175619	EH23a.chrX
BH4.00005276	966	23807	EH23a.chr9
BH4.00006094	1012	39524	EH23a.chr3
BH4.00168094	947	20613	EH23a.chr9
BH4.00003232	995	36715	EH23a.chrX
BH4.00002406	1004	40669	EH23a.chr7
BH4.00005210	967	31890	EH23a.chr1
BH4.00003798	1003	50130	EH23a.chr7
BH4.00007930	1059	93818	EH23a.chrX
BH4.00003952	976	39505	EH23a.chr4
BH4.00005873	952	30768	EH23a.chr2
BH4.00004645	970	39652	EH23a.chr3
BH4.00001220	972	41932	EH23a.chr2
BH4.00002020	969	43302	EH23a.chrX
BH4.00006585	953	39048	EH23a.chr6
BH4.00015437	943	39493	EH23a.chr6
BH4.00006034	944	42259	EH23a.chr5
BH4.00013146	920	36537	EH23a.chr9
BH4.00006485	935	43574	EH23a.chr5
BH4.00005565	892	27814	EH23a.chr2
BH4.00007748	1013	112532	EH23a.chr6
BH4.00002253	928	44539	EH23a.chr7
BH4.00006810	1205	1109373	EH23a.chr4
BH4.00006243	911	39712	EH23a.chr5
BH4.00002127	1121	566382	EH23a.chr4
BH4.00002639	868	29807	EH23a.chr5
BH4.00005159	887	38175	EH23a.chr3
BH4.00001366	861	28036	EH23a.chr9
BH4.00001096	865	30463	EH23a.chr6
BH4.00006408	874	34878	EH23a.chr7
BH4.00004746	871	34846	EH23a.chr5
BH4.00007102	866	32855	EH23a.chr6
BH4.00004733	1231	3042435	EH23a.chr2
BH4.00006470	898	54173	EH23a.chr3
BH4.00007648	880	43947	EH23a.chr7
BH4.00020473	851	32338	EH23a.chr6
BH4.00005232	855	34313	EH23a.chrX
BH4.00012280	847	31298	EH23a.chr2
BH4.00005411	859	36356	EH23a.chrX
BH4.00001725	846	36353	EH23a.chr4
BH4.00001273	886	65742	EH23a.chrX
BH4.00000498	808	24958	EH23a.chr5
BH4.00011535	839	41928	EH23a.chr2
BH4.00005394	1090	1055367	EH23a.chrX
BH4.00004983	829	38431	EH23a.chr6
BH4.00005377	821	34832	EH23a.chr3
BH4.00003193	840	45224	EH23a.chrX
BH4.00002631	841	46003	EH23a.chr7
BH4.00003070	798	28454	EH23a.chr9
BH4.00003685	1095	1322422	EH23a.chr7
BH4.00012915	806	32786	EH23a.chr3
BH4.00006517	1094	1358456	EH23a.chrX
BH4.00001735	798	32169	EH23a.chr2
BH4.00012367	794	31046	EH23a.chr8
BH4.00004165	809	38693	EH23a.chr8
BH4.00004412	795	34546	EH23a.chrX
BH4.00005285	790	33809	EH23a.chr9
BH4.00005570	1062	1272198	EH23a.chrX
BH4.00003762	780	32082	EH23a.chr7
BH4.00006506	763	25925	EH23a.chr3
BH4.00000040	762	26285	EH23a.chrX
BH4.00003841	935	286057	EH23a.chr9
BH4.00003074	796	44525	EH23a.chrX
BH4.00003228	748	24598	EH23a.chr8
BH4.00001375	754	29304	EH23a.chr9
BH4.00004134	775	39625	EH23a.chr6
BH4.00011040	770	37195	EH23a.chr9
BH4.00002432	759	36927	EH23a.chr7
BH4.00007866	837	109114	EH23a.chrX
BH4.00004533	759	39295	EH23a.chr7
BH4.00005876	931	454286	EH23a.chr6
BH4.00004384	750	36901	EH23a.chr5
BH4.00168093	745	35414	EH23a.chr9
BH4.00000436	744	35177	EH23a.chr8
BH4.00006219	1023	1849481	EH23a.chr1
BH4.00004972	763	49258	EH23a.chr1
BH4.00001678	741	37368	EH23a.chrX
BH4.00006196	727	30658	EH23a.chr5
BH4.00004283	756	46504	EH23a.chr1
BH4.00007703	817	111849	EH23a.chrX
BH4.00006469	725	30370	EH23a.chr7
BH4.00017976	707	24206	EH23a.chr5
BH4.00005843	749	44118	EH23a.chr4
BH4.00002294	715	29644	EH23a.chr8
BH4.00002674	706	27336	EH23a.chr1
BH4.00018353	705	27545	EH23a.chr8
BH4.00002712	1083	6800354	EH23a.chr7
BH4.00006839	803	117748	EH23a.chr7
BH4.00004048	760	64247	EH23a.chrX
BH4.00002500	732	42733	EH23a.chr5
BH4.00020219	711	31515	EH23a.chr7
BH4.00005724	716	34010	EH23a.chr4
BH4.00005275	740	48936	EH23a.chr3
BH4.00000064	713	33118	EH23a.chr6
BH4.00001503	738	48405	EH23a.chr4
BH4.00014145	714	34257	EH23a.chr5
BH4.00011363	708	32778	EH23a.chr3
BH4.00005929	696	27677	EH23a.chrX
BH4.00000965	709	33741	EH23a.chr5
BH4.00003540	683	23308	EH23a.chr6
BH4.00000168	695	28402	EH23a.chr8
BH4.00003051	726	44928	EH23a.chr5
BH4.00000387	742	57946	EH23a.chrX
BH4.00000558	739	56928	EH23a.chr5
BH4.00004288	722	45724	EH23a.chrX
BH4.00006768	701	35322	EH23a.chr4
BH4.00001536	694	33172	EH23a.chr2
BH4.00000244	916	931027	EH23a.chr3
BH4.00000840	696	35647	EH23a.chr5
BH4.00000463	698	37307	EH23a.chr5
BH4.00003873	651	18450	EH23a.chrX
BH4.00006783	709	44559	EH23a.chr4
BH4.00005227	698	38134	EH23a.chr6
BH4.00005018	697	39679	EH23a.chr2
BH4.00005020	713	51067	EH23a.chr2
BH4.00004515	700	42494	EH23a.chr7
BH4.00001780	703	44870	EH23a.chr9
BH4.00168106	673	29036	EH23a.chrX
BH4.00006106	678	31939	EH23a.chr6
BH4.00009894	689	39420	EH23a.chr1
BH4.00001920	730	74954	EH23a.chr7
BH4.00006504	663	26767	EH23a.chr4
BH4.00001019	680	35851	EH23a.chr5
BH4.00001752	674	32804	EH23a.chr2
BH4.00004721	693	44289	EH23a.chr8
BH4.00002256	686	41107	EH23a.chr8
BH4.00000178	690	43990	EH23a.chr7
BH4.00003852	672	33528	EH23a.chr4
BH4.00001046	690	45093	EH23a.chr1
BH4.00021059	655	29551	EH23a.chr8
BH4.00001938	653	30042	EH23a.chr7
BH4.00006522	671	40258	EH23a.chrX
BH4.00001063	621	19224	EH23a.chr6
BH4.00002216	686	58046	EH23a.chrX
BH4.00006420	666	43834	EH23a.chr6
BH4.00004081	657	39932	EH23a.chr8
BH4.00002000	641	30979	EH23a.chr2
BH4.00003057	701	82224	EH23a.chr6
BH4.00004270	642	31969	EH23a.chr2
BH4.00004461	850	938162	EH23a.chrX
BH4.00010634	650	37848	EH23a.chr7
BH4.00006410	614	22615	EH23a.chr8
BH4.00004228	654	44053	EH23a.chr9
BH4.00009460	644	38272	EH23a.chr6
BH4.00003005	650	42852	EH23a.chr1
BH4.00010749	658	49762	EH23a.chr5
BH4.00001467	659	51344	EH23a.chr1
BH4.00004652	619	27517	EH23a.chr6
BH4.00002395	955	7123824	EH23a.chr5
BH4.00005335	635	36070	EH23a.chr2
BH4.00004716	635	37621	EH23a.chr9
BH4.00007670	727	174288	EH23a.chr4
BH4.00003675	620	29521	EH23a.chr9
BH4.00168114	602	21966	EH23a.chr1
BH4.00001047	644	44142	EH23a.chr1
BH4.00003583	642	44739	EH23a.chr7
BH4.00008177	651	52870	EH23a.chr4
BH4.00009759	620	32199	EH23a.chr8
BH4.00006558	636	42659	EH23a.chrX
BH4.00006584	637	43716	EH23a.chr6
BH4.00001343	626	37908	EH23a.chrX
BH4.00002156	621	35029	EH23a.chrX
BH4.00005291	843	1609729	EH23a.chrX
BH4.00000854	618	35954	EH23a.chr5
BH4.00007644	603	28847	EH23a.chr5
BH4.00002564	615	35507	EH23a.chr9
BH4.00005526	603	31875	EH23a.chr4
BH4.00004158	887	4299638	EH23a.chr8
BH4.00004034	612	38153	EH23a.chr1
BH4.00011703	602	32814	EH23a.chr9
BH4.00001531	589	28244	EH23a.chr2
BH4.00001509	601	35395	EH23a.chr4
BH4.00005316	597	33095	EH23a.chr8
BH4.00003115	578	23966	EH23a.chr2
BH4.00003422	602	37584	EH23a.chr8
BH4.00004610	597	35290	EH23a.chr3
BH4.00001867	592	32722	EH23a.chr6
BH4.00002051	596	36001	EH23a.chr7
BH4.00001271	577	26491	EH23a.chrX
BH4.00003997	758	653564	EH23a.chrX
BH4.00005644	590	33724	EH23a.chr5
BH4.00001365	586	31500	EH23a.chr9
BH4.00000514	586	31757	EH23a.chrX
BH4.00006421	571	25492	EH23a.chr3
BH4.00007380	747	599139	EH23a.chr1
BH4.00005727	590	36581	EH23a.chr4
BH4.00004219	589	35949	EH23a.chr2
BH4.00008027	638	88749	EH23a.chr2
BH4.00005763	601	46113	EH23a.chr1
BH4.00002158	764	861577	EH23a.chrX
BH4.00001849	609	54519	EH23a.chr6
BH4.00002914	579	33229	EH23a.chr4
BH4.00005812	805	1996927	EH23a.chrX
BH4.00006774	566	27855	EH23a.chr4
BH4.00004537	569	29480	EH23a.chr7
BH4.00001285	565	28214	EH23a.chrX
BH4.00017765	555	23537	EH23a.chr1
BH4.00004437	830	3587875	EH23a.chr2
BH4.00004950	825	3304266	EH23a.chr1
BH4.00002851	575	35331	EH23a.chrX
BH4.00004825	575	35757	EH23a.chr8
BH4.00014556	575	36899	EH23a.chr6
BH4.00004242	627	95824	EH23a.chr1
BH4.00016830	567	33282	EH23a.chrX
BH4.00004754	568	33997	EH23a.chrX
BH4.00005108	551	25002	EH23a.chr5
BH4.00000279	561	30446	EH23a.chr9
BH4.00006240	613	79674	EH23a.chr9
BH4.00018302	542	21929	EH23a.chrX
BH4.00005186	558	30476	EH23a.chr4
BH4.00000314	555	29154	EH23a.chr3
BH4.00004486	547	25199	EH23a.chrX
BH4.00010660	574	41933	EH23a.chr8
BH4.00005311	568	37523	EH23a.chr1
BH4.00006955	568	37935	EH23a.chrX
BH4.00005280	571	40691	EH23a.chr9
BH4.00003740	547	27545	EH23a.chr3
BH4.00014235	548	28611	EH23a.chr3
BH4.00017022	557	33922	EH23a.chr8
BH4.00001168	545	28719	EH23a.chr1
BH4.00010377	533	23483	EH23a.chrX
BH4.00005230	685	421911	EH23a.chr5
BH4.00001662	545	30329	EH23a.chr2
BH4.00004010	546	31715	EH23a.chr1
BH4.00002638	545	31180	EH23a.chr8
BH4.00001660	542	29926	EH23a.chr2
BH4.00000249	562	43862	EH23a.chr9
BH4.00006966	534	25860	EH23a.chrX
BH4.00001196	563	48882	EH23a.chr4
BH4.00000910	528	26389	EH23a.chr5
BH4.00006222	675	475026	EH23a.chrX
BH4.00005343	552	47194	EH23a.chr1
BH4.00005682	557	52107	EH23a.chr1
BH4.00007652	625	198981	EH23a.chr4
BH4.00003567	547	43482	EH23a.chr8
BH4.00007650	629	227273	EH23a.chrX
BH4.00001082	591	111095	EH23a.chr1
BH4.00003355	756	2871614	EH23a.chr2
BH4.00002787	509	23076	EH23a.chrX
BH4.00006370	539	43799	EH23a.chr1
BH4.00014268	533	38974	EH23a.chrX
BH4.00002151	527	34867	EH23a.chr7
BH4.00000030	521	33183	EH23a.chrX
BH4.00002273	515	29462	EH23a.chr8
BH4.00007664	597	152287	EH23a.chr8
BH4.00002304	530	40065	EH23a.chr3
BH4.00003107	496	20674	EH23a.chr2
BH4.00022631	517	34427	EH23a.chrX
BH4.00007557	532	46721	EH23a.chrX
BH4.00005574	727	2475478	EH23a.chr2
BH4.00002962	524	41066	EH23a.chr7
BH4.00005318	689	1180380	EH23a.chr9
BH4.00006302	519	38866	EH23a.chr2
BH4.00002716	516	36582	EH23a.chr9
BH4.00001756	787	9188040	EH23a.chr7
BH4.00006677	515	37360	EH23a.chr5
BH4.00004933	506	31257	EH23a.chr6
BH4.00002973	520	42754	EH23a.chr8
BH4.00019413	496	26233	EH23a.chr7
BH4.00007000	499	28883	EH23a.chr7
BH4.00001567	512	38294	EH23a.chr3
BH4.00000775	675	1103235	EH23a.chrX
BH4.00002549	514	42575	EH23a.chr5
BH4.00006042	496	29478	EH23a.chr6
BH4.00001357	502	33680	EH23a.chr9
BH4.00006266	493	28048	EH23a.chr6
BH4.00000642	492	28507	EH23a.chr8
BH4.00001775	494	31676	EH23a.chr9
BH4.00001539	491	30704	EH23a.chr2
BH4.00000898	499	36361	EH23a.chr5
BH4.00016991	490	30802	EH23a.chr5
BH4.00001550	484	27637	EH23a.chr2
BH4.00006925	509	47832	EH23a.chr1
BH4.00000673	521	61798	EH23a.chr3
BH4.00010615	480	28697	EH23a.chr8
BH4.00007452	607	453734	EH23a.chr3
BH4.00006417	497	43727	EH23a.chr3
BH4.00003225	482	34163	EH23a.chrX
BH4.00003818	469	26119	EH23a.chr7
BH4.00005619	487	39174	EH23a.chrX
BH4.00000963	482	35233	EH23a.chr5
BH4.00003084	475	31236	EH23a.chr5
BH4.00002781	478	33990	EH23a.chr7
BH4.00012085	477	33513	EH23a.chr8
BH4.00007928	496	50768	EH23a.chr4
BH4.00005283	679	2869089	EH23a.chr4
BH4.00004786	559	211668	EH23a.chr2
BH4.00008676	470	30164	EH23a.chr5
BH4.00003744	473	32534	EH23a.chr3
BH4.00001486	641	1362278	EH23a.chr6
BH4.00005398	476	36579	EH23a.chrX
BH4.00001764	465	29150	EH23a.chr9
BH4.00005986	655	1949392	EH23a.chr3
BH4.00004935	606	691451	EH23a.chr3
BH4.00004792	471	34928	EH23a.chrX
BH4.00001523	462	30440	EH23a.chr4
BH4.00003936	621	1081305	EH23a.chrX
BH4.00001383	450	24432	EH23a.chr9
BH4.00004799	465	34312	EH23a.chrX
BH4.00004735	460	31108	EH23a.chr2
BH4.00000033	482	51178	EH23a.chrX
BH4.00011554	472	41700	EH23a.chr3
BH4.00005115	453	27235	EH23a.chrX
BH4.00003856	481	51306	EH23a.chr7
BH4.00000106	470	40479	EH23a.chr5
BH4.00000671	468	38791	EH23a.chr3
BH4.00003420	451	26733	EH23a.chr8
BH4.00012177	453	28837	EH23a.chr1
BH4.00005442	456	31085	EH23a.chr2
BH4.00001576	454	29856	EH23a.chr6
BH4.00002654	469	44085	EH23a.chrX
BH4.00003955	461	37788	EH23a.chr4
BH4.00012903	454	32768	EH23a.chr2
BH4.00003226	465	42242	EH23a.chr6
BH4.00001626	443	25915	EH23a.chrX
BH4.00002919	455	34225	EH23a.chr1
BH4.00002069	465	43292	EH23a.chr1
BH4.00168120	532	207218	EH23a.chrX
BH4.00007943	495	89702	EH23a.chrX
BH4.00002956	465	45440	EH23a.chr9
BH4.00019251	454	36344	EH23a.chr3
BH4.00007697	442	27916	EH23a.chr4
BH4.00002017	687	8195849	EH23a.chrX
BH4.00007293	447	33248	EH23a.chr9
BH4.00168100	434	24823	EH23a.chr1
BH4.00019105	442	30962	EH23a.chr3
BH4.00007715	445	34854	EH23a.chrX
BH4.00002778	441	32367	EH23a.chr2
BH4.00019347	434	29278	EH23a.chr3
BH4.00007604	527	266096	EH23a.chrX
BH4.00005916	437	32141	EH23a.chrX
BH4.00009302	451	45291	EH23a.chr8
BH4.00003946	450	44899	EH23a.chr4
BH4.00006024	444	39391	EH23a.chrX
BH4.00006482	596	1485794	EH23a.chrX
BH4.00000459	434	31715	EH23a.chr5
BH4.00001925	435	32865	EH23a.chr7
BH4.00000135	437	34661	EH23a.chr5
BH4.00009882	425	26028	EH23a.chr9
BH4.00005657	486	112230	EH23a.chr6
BH4.00003227	437	37839	EH23a.chrX
BH4.00004634	435	36869	EH23a.chrX
BH4.00004074	436	38057	EH23a.chr8
BH4.00000184	691	18286391	EH23a.chr3
BH4.00000246	513	250011	EH23a.chr3
BH4.00005852	599	2056916	EH23a.chr6
BH4.00000969	412	22352	EH23a.chr5
BH4.00005817	450	56492	EH23a.chr1
BH4.00018500	418	26222	EH23a.chr3
BH4.00003786	435	40365	EH23a.chr9
BH4.00005490	548	672227	EH23a.chrX
BH4.00000814	427	36566	EH23a.chr5
BH4.00003741	423	33178	EH23a.chr3
BH4.00004547	427	37519	EH23a.chr7
BH4.00001008	418	31436	EH23a.chr5
BH4.00019323	426	39234	EH23a.chr8
BH4.00019769	414	29763	EH23a.chr8
BH4.00005609	495	232444	EH23a.chr2
BH4.00013683	403	23498	EH23a.chr9
BH4.00005053	405	25207	EH23a.chr4
BH4.00000977	415	33015	EH23a.chr5
BH4.00006864	411	30295	EH23a.chr2
BH4.00006096	517	434116	EH23a.chr5
BH4.00014000	405	26270	EH23a.chrX
BH4.00003736	410	30924	EH23a.chr3
BH4.00005853	406	27979	EH23a.chr6
BH4.00019724	410	32841	EH23a.chr8
BH4.00002048	405	28963	EH23a.chrX
BH4.00010578	403	27678	EH23a.chr8
BH4.00002931	388	19491	EH23a.chr7
BH4.00004102	403	29326	EH23a.chr6
BH4.00005783	397	25348	EH23a.chr1
BH4.00002660	610	6187038	EH23a.chr9
BH4.00004089	407	34016	EH23a.chr8
BH4.00004980	415	41840	EH23a.chr1
BH4.00004605	591	3900680	EH23a.chr3
BH4.00018753	399	28447	EH23a.chr7
BH4.00005954	404	33559	EH23a.chr1
BH4.00006142	403	32815	EH23a.chr6
BH4.00003561	403	33116	EH23a.chr8
BH4.00000702	405	35482	EH23a.chr3
BH4.00003927	414	45025	EH23a.chr3
BH4.00003949	416	47538	EH23a.chr4
BH4.00006185	407	39277	EH23a.chr1
BH4.00001594	403	35828	EH23a.chr5
BH4.00000248	386	23305	EH23a.chr9
BH4.00018178	403	37879	EH23a.chrX
BH4.00001147	403	38253	EH23a.chr1
BH4.00002559	403	42315	EH23a.chr9
BH4.00002476	383	26203	EH23a.chr8
BH4.00012461	389	31162	EH23a.chr3
BH4.00015659	380	24632	EH23a.chrX
BH4.00018997	383	27080	EH23a.chr8
BH4.00000541	382	26695	EH23a.chr5
BH4.00005453	380	25395	EH23a.chr9
BH4.00003127	391	35160	EH23a.chr6
BH4.00002317	386	31148	EH23a.chr3
BH4.00012303	379	26194	EH23a.chr8
BH4.00012243	384	30066	EH23a.chr4
BH4.00003385	386	31975	EH23a.chrX
BH4.00014201	391	36692	EH23a.chr8
BH4.00000159	392	37973	EH23a.chrX
BH4.00002850	552	2874639	EH23a.chr7
BH4.00006520	386	32944	EH23a.chrX
BH4.00017960	379	27329	EH23a.chr6
BH4.00003045	378	26611	EH23a.chrX
BH4.00007026	389	35812	EH23a.chr6
BH4.00003532	379	27408	EH23a.chr8
BH4.00014309	383	31402	EH23a.chr6
BH4.00005264	392	40362	EH23a.chr9
BH4.00000533	372	23685	EH23a.chr8
BH4.00011686	382	31183	EH23a.chr8
BH4.00004529	383	32675	EH23a.chr7
BH4.00014900	376	27060	EH23a.chr8
BH4.00007152	387	36590	EH23a.chrX
BH4.00001620	387	38316	EH23a.chrX
BH4.00000926	373	26643	EH23a.chr5
BH4.00006378	381	33522	EH23a.chr1
BH4.00001089	379	31915	EH23a.chr6
BH4.00002704	372	26419	EH23a.chrX
BH4.00003811	381	34239	EH23a.chr7
BH4.00007675	434	149060	EH23a.chr1
BH4.00017607	378	32307	EH23a.chr8
BH4.00018548	372	27709	EH23a.chr8
BH4.00005854	376	30992	EH23a.chr4
BH4.00003175	383	39085	EH23a.chr8
BH4.00001718	382	38102	EH23a.chr4
BH4.00009980	374	31188	EH23a.chr6
BH4.00003116	372	29603	EH23a.chr2
BH4.00006435	403	71745	EH23a.chr1
BH4.00004803	482	643899	EH23a.chrX
BH4.00005691	370	29066	EH23a.chr6
BH4.00016109	374	32761	EH23a.chr8
BH4.00005364	370	29743	EH23a.chr1
BH4.00005248	374	33332	EH23a.chr4
BH4.00000148	362	24123	EH23a.chr5
BH4.00014358	372	32293	EH23a.chr8
BH4.00002391	372	32627	EH23a.chr4
BH4.00006842	369	30133	EH23a.chrX
BH4.00006333	374	34930	EH23a.chrX
BH4.00002362	372	33304	EH23a.chr3
BH4.00001822	378	39431	EH23a.chr6
BH4.00004513	379	41950	EH23a.chr7
BH4.00001892	358	23592	EH23a.chr2
BH4.00003484	372	35082	EH23a.chr8
BH4.00001672	372	35837	EH23a.chr6
BH4.00005957	455	379725	EH23a.chr2
BH4.00002396	373	37609	EH23a.chr5
BH4.00006424	505	1601074	EH23a.chr4
BH4.00002950	360	26945	EH23a.chr9
BH4.00003216	375	42512	EH23a.chr2
BH4.00003450	381	51088	EH23a.chr6
BH4.00005425	374	42186	EH23a.chr1
BH4.00003831	372	39985	EH23a.chr1
BH4.00005044	366	35637	EH23a.chrX
BH4.00002096	364	33738	EH23a.chr4
BH4.00001158	373	45088	EH23a.chr2
BH4.00001100	365	36309	EH23a.chr1
BH4.00005294	360	31802	EH23a.chr4
BH4.00001281	391	77841	EH23a.chrX
BH4.00006389	371	44844	EH23a.chr4
BH4.00000979	376	51987	EH23a.chr5
BH4.00007438	369	42903	EH23a.chr5
BH4.00001996	354	28057	EH23a.chr2
BH4.00001213	360	33650	EH23a.chr4
BH4.00007103	362	36002	EH23a.chr2
BH4.00001978	372	48310	EH23a.chr2
BH4.00000971	375	54355	EH23a.chr5
BH4.00012409	356	31737	EH23a.chr8
BH4.00006695	344	22422	EH23a.chr2
BH4.00005238	353	29476	EH23a.chrX
BH4.00001215	359	36234	EH23a.chr2
BH4.00000904	355	32490	EH23a.chr5
BH4.00005546	350	28129	EH23a.chr4
BH4.00004704	349	27660	EH23a.chrX
BH4.00009081	352	30478	EH23a.chrX
BH4.00005772	367	48459	EH23a.chr1
BH4.00012634	348	27958	EH23a.chr8
BH4.00006862	471	1044681	EH23a.chr8
BH4.00002168	341	23248	EH23a.chrX
BH4.00000951	349	29947	EH23a.chrX
BH4.00011559	347	28807	EH23a.chr8
BH4.00016019	339	23249	EH23a.chr5
BH4.00019291	337	22124	EH23a.chr6
BH4.00005856	429	344843	EH23a.chr2
BH4.00016957	341	25460	EH23a.chr8
BH4.00018579	347	30681	EH23a.chr3
BH4.00003250	362	48955	EH23a.chr6
BH4.00005603	374	70228	EH23a.chr8
BH4.00005790	346	30713	EH23a.chr9
BH4.00006687	345	29870	EH23a.chr1
BH4.00004528	437	480395	EH23a.chr8
BH4.00002958	345	30801	EH23a.chr9
BH4.00002877	341	27703	EH23a.chrX
BH4.00003266	516	5292244	EH23a.chr2
BH4.00000827	352	38914	EH23a.chr5
BH4.00006654	465	1158020	EH23a.chr1
BH4.00000468	350	36674	EH23a.chr5
BH4.00004038	346	32538	EH23a.chr1
BH4.00006462	350	37690	EH23a.chrX
BH4.00012483	341	29273	EH23a.chr8
BH4.00022182	341	29341	EH23a.chr2
BH4.00004075	349	38009	EH23a.chr8
BH4.00002041	527	8242329	EH23a.chr4
BH4.00004132	332	23435	EH23a.chr8
BH4.00010804	341	30973	EH23a.chr6
BH4.00002994	341	31008	EH23a.chrX
BH4.00001078	339	29598	EH23a.chr6
BH4.00001585	357	51436	EH23a.chr5
BH4.00019113	329	22892	EH23a.chrX
BH4.00002277	341	33235	EH23a.chr8
BH4.00005045	346	38723	EH23a.chr4
BH4.00006957	341	33258	EH23a.chr2
BH4.00006184	341	35031	EH23a.chr4
BH4.00004114	375	101988	EH23a.chr8
BH4.00007148	335	30341	EH23a.chr4
BH4.00005890	341	36686	EH23a.chrX
BH4.00003411	341	36743	EH23a.chr8
BH4.00003409	345	41804	EH23a.chr8
BH4.00007360	340	35862	EH23a.chr4
BH4.00002533	341	37282	EH23a.chr5
BH4.00001887	342	38745	EH23a.chr2
BH4.00005728	341	37926	EH23a.chr3
BH4.00007510	341	38564	EH23a.chr8
BH4.00020197	334	31283	EH23a.chr6
BH4.00002208	341	40045	EH23a.chrX
BH4.00002239	414	389492	EH23a.chr7
BH4.00016408	330	29007	EH23a.chrX
BH4.00006254	382	147795	EH23a.chr1
BH4.00001258	410	353690	EH23a.chrX
BH4.00003925	491	4699899	EH23a.chr3
BH4.00007681	389	198331	EH23a.chr1
BH4.00005857	372	117797	EH23a.chr2
BH4.00004055	337	39608	EH23a.chr1
BH4.00007629	341	45868	EH23a.chr2
BH4.00020345	328	30795	EH23a.chr8
BH4.00005706	321	24775	EH23a.chr6
BH4.00006458	364	98882	EH23a.chr8
BH4.00002990	411	440327	EH23a.chr7
BH4.00017962	331	35261	EH23a.chr8
BH4.00002590	341	48671	EH23a.chrX
BH4.00004808	393	258773	EH23a.chrX
BH4.00004959	341	49850	EH23a.chr5
