contig	kmers_bp	total_bp	chrom
I3.000533F	3713	125595	EH23a.chr1
I3.000079F	4708	3136305	EH23a.chr1
I3.000381F	4040	405915	EH23a.chr5
I3.000139F	3611	125569	EH23a.chr6
I3.000377F	4016	469279	EH23a.chr5
I3.000488F	3711	233495	EH23a.chr6
I3.000091F	4420	2884204	EH23a.chr4
I3.000070F	4484	3749874	EH23a.chr5
I3.000442F	3681	267560	EH23a.chr5
I3.000047F	4530	5566159	EH23a.chr4
I3.000385F	3736	368214	EH23a.chr5
I3.000256F	3964	893635	EH23a.chr4
I3.000297F	3880	725421	EH23a.chr5
I3.000216F	4002	1152025	EH23a.chr4
I3.000534F	3235	96939	EH23a.chr5
I3.000166F	4010	1684997	EH23a.chr5
I3.000211F	3858	1129255	EH23a.chr8
I3.000461F	3404	231063	EH23a.chr6
I3.000504F	3253	163176	EH23a.chr4
I3.000531F	3114	115685	EH23a.chr6
I3.000103F	3933	2669140	EH23a.chr1
I3.000178F	3723	1437384	EH23a.chr3
I3.000119F	3499	809739	EH23a.chr8
I3.000277F	3413	612234	EH23a.chr8
I3.000077F	3816	3285868	EH23a.chr7
I3.000015F	4072	9967391	EH23a.chr6
I3.000392F	3246	393380	EH23a.chr8
I3.000145F	2980	147792	EH23a.chrX
I3.000136F	3579	1967476	EH23a.chr6
I3.000083F	3679	3018341	EH23a.chr5
I3.000175F	3481	1485893	EH23a.chr6
I3.000291F	3268	719844	EH23a.chr8
I3.000548F	2732	81916	EH23a.chr1
I3.000014F	3862	10040685	EH23a.chr3
I3.000221F	3302	1056759	EH23a.chr1
I3.000460F	2896	231392	EH23a.chr5
I3.000374F	2667	95204	EH23a.chr5
I3.000016F	3747	9946615	EH23a.chr2
I3.000362R	3062	548405	EH23a.chr8
I3.000120F	3380	2474063	EH23a.chr1
I3.000052F	3532	5127037	EH23a.chr4
I3.000224F	3168	1091747	EH23a.chr6
I3.000183F	3164	1371163	EH23a.chr2
I3.000125F	3121	1254019	EH23a.chr1
I3.000215F	3086	1091868	EH23a.chr8
I3.000556F	2554	100484	EH23a.chrX
I3.000197F	3093	1243985	EH23a.chr5
I3.000474F	2716	225881	EH23a.chr6
I3.000401F	2793	328762	EH23a.chr5
I3.000470F	2701	224760	EH23a.chr5
I3.000296F	2918	657889	EH23a.chr4
I3.000114F	3123	2535866	EH23a.chr1
I3.000010F	3439	11977569	EH23a.chr5
I3.000037F	3263	5793873	EH23a.chr2
I3.000102F	2997	2639830	EH23a.chr8
I3.000262F	2761	873041	EH23a.chr6
I3.000522F	2412	160961	EH23a.chr1
I3.000290F	2709	711183	EH23a.chr6
I3.000397F	2536	355850	EH23a.chr1
I3.000542F	2173	75542	EH23a.chr8
I3.000247F	2657	931184	EH23a.chr7
I3.000515F	2302	163669	EH23a.chr6
I3.000368F	2474	450531	EH23a.chr6
I3.000544F	2115	85743	EH23a.chr8
I3.000312F	2481	633651	EH23a.chr1
I3.000420F	2325	308040	EH23a.chr5
I3.000383F	2337	362801	EH23a.chrX
I3.000192F	2566	1331779	EH23a.chrX
I3.000134F	2639	2033911	EH23a.chrX
I3.000238F	2496	987531	EH23a.chr8
I3.000418F	2277	304639	EH23a.chr4
I3.000446F	2221	237624	EH23a.chr5
I3.000382F	2298	427341	EH23a.chr5
I3.000257F	2418	844541	EH23a.chr2
I3.000155F	2519	1668557	EH23a.chr6
I3.000509F	2120	173770	EH23a.chr5
I3.000282F	2387	829471	EH23a.chr5
I3.000553F	2023	105401	EH23a.chr6
I3.000453F	2145	232112	EH23a.chr5
I3.000487F	2112	206935	EH23a.chr7
I3.000123F	2517	2232510	EH23a.chr4
I3.000174F	2432	1427226	EH23a.chr4
I3.000021F	2716	8627260	EH23a.chr3
I3.000369F	2198	466695	EH23a.chr6
I3.000435F	2050	237500	EH23a.chr6
I3.000189F	2305	1254737	EH23a.chr5
I3.000319F	2185	619649	EH23a.chr1
I3.000020F	2619	8853974	EH23a.chr2
I3.577	1792	60359	EH23a.chr1
I3.000288F	2203	756111	EH23a.chr9
I3.000500F	1917	162490	EH23a.chr1
I3.000098F	2363	2740893	EH23a.chr4
I3.000516F	1898	157232	EH23a.chr5
I3.000162F	2006	342356	EH23a.chr1
I3.000092F	2331	2897875	EH23a.chr1
I3.000321F	2072	570979	EH23a.chr5
I3.000489F	1891	183627	EH23a.chr5
I3.000294F	2064	666524	EH23a.chr1
I3.000514F	1853	180605	EH23a.chr5
I3.000532F	1807	137923	EH23a.chrX
I3.000223F	1991	482737	EH23a.chr1
I3.000541F	1788	131040	EH23a.chr5
I3.000239F	2091	1015127	EH23a.chr1
I3.000075F	2247	3290178	EH23a.chr1
I3.000121F	2184	2297374	EH23a.chr8
I3.000359F	1939	448333	EH23a.chr5
I3.000258F	2023	892519	EH23a.chr4
I3.000518F	1786	180304	EH23a.chr1
I3.000424F	1813	245175	EH23a.chr5
I3.000490F	1777	199738	EH23a.chr1
I3.000399F	1851	356510	EH23a.chr1
I3.000356F	1892	499142	EH23a.chr4
I3.000524F	1695	135708	EH23a.chr5
I3.000494F	1749	203743	EH23a.chr5
I3.000436F	1781	266336	EH23a.chr5
I3.000304F	1884	624926	EH23a.chrX
I3.000141F	2029	1915701	EH23a.chr8
I3.000027F	2212	8008625	EH23a.chr8
I3.000097F	2065	2832442	EH23a.chr8
I3.575	1595	98496	EH23a.chr1
I3.000132F	2012	2133000	EH23a.chr1
I3.000498F	1661	191375	EH23a.chr4
I3.000538F	1608	142703	EH23a.chr1
I3.000535F	1548	96385	EH23a.chr4
I3.000245F	1855	946448	EH23a.chr2
I3.000549F	1537	95982	EH23a.chr5
I3.000462F	1614	173443	EH23a.chr1
I3.000467F	1561	166140	EH23a.chr3
I3.000226F	1791	1038416	EH23a.chr8
I3.000067F	1954	3778895	EH23a.chr8
I3.000337F	1687	541681	EH23a.chr1
I3.000475F	1543	180792	EH23a.chr8
I3.000135F	1839	1994608	EH23a.chr6
I3.000283F	1711	787830	EH23a.chr1
I3.000396F	1590	319465	EH23a.chr1
I3.000361F	1628	448196	EH23a.chr5
I3.000491F	1504	180841	EH23a.chr5
I3.000242F	1715	994947	EH23a.chr1
I3.000124F	1810	2250831	EH23a.chr1
I3.000087F	1833	2865172	EH23a.chr1
I3.000064F	1852	3999229	EH23a.chr1
I3.000261F	1664	877289	EH23a.chr8
I3.000426F	1521	277818	EH23a.chr5
I3.000376F	1559	405841	EH23a.chr4
I3.000322F	1598	567203	EH23a.chr4
I3.000040F	1870	5679320	EH23a.chr1
I3.000413F	1498	289170	EH23a.chr1
I3.000043F	1842	5199299	EH23a.chr6
I3.000203F	1661	1188371	EH23a.chr8
I3.000521F	1389	123484	EH23a.chr3
I3.000342F	1551	493782	EH23a.chr8
I3.000088F	1752	2866330	EH23a.chr3
I3.000540F	1388	141983	EH23a.chr4
I3.000220F	1620	1072285	EH23a.chr4
I3.000394F	1488	366561	EH23a.chr8
I3.000278F	1563	767786	EH23a.chr1
I3.000479F	1373	164146	EH23a.chr1
I3.000108F	1684	2635997	EH23a.chr5
I3.000357F	1479	441488	EH23a.chr6
I3.000152F	1629	1742532	EH23a.chr1
I3.000537F	1340	142819	EH23a.chr1
I3.000568F	1203	43509	EH23a.chr4
I3.000298F	1506	702842	EH23a.chr1
I3.000555F	1256	88874	EH23a.chr5
I3.000031F	1730	6912276	EH23a.chr4
I3.000065F	1665	3939128	EH23a.chr6
I3.000425F	1346	272539	EH23a.chr3
I3.000240F	1433	989888	EH23a.chr4
I3.000284F	1388	734475	EH23a.chr1
I3.000390F	1310	354559	EH23a.chr8
I3.000557F	1166	92132	EH23a.chr6
I3.000055F	1549	4552803	EH23a.chr1
I3.000054F	1377	946092	EH23a.chr3
I3.000513F	1200	174668	EH23a.chr5
I3.000465F	1191	164428	EH23a.chr5
I3.000285F	1227	243775	EH23a.chr5
I3.000036F	1526	6073899	EH23a.chr2
I3.000405F	1233	341318	EH23a.chr1
I3.000379F	1233	377626	EH23a.chr5
I3.000026F	1521	8011055	EH23a.chr7
I3.000237F	1312	929757	EH23a.chr1
I3.000095F	1400	2777429	EH23a.chr2
I3.000363F	1223	469767	EH23a.chr6
I3.000004F	1550	15794027	EH23a.chr3
I3.000101F	1383	2670981	EH23a.chr5
I3.000309F	1237	561070	EH23a.chr6
I3.000165F	1329	1544116	EH23a.chr1
I3.000415F	1159	277828	EH23a.chr1
I3.000431F	1146	245485	EH23a.chr5
I3.000029F	1071	122051	EH23a.chr2
I3.000444F	1129	235575	EH23a.chr9
I3.000186F	1280	1321682	EH23a.chr2
I3.000375F	1168	398633	EH23a.chr6
I3.000053F	1385	4763163	EH23a.chr4
I3.000254F	1227	870089	EH23a.chr4
I3.000554F	981	60288	EH23a.chr1
I3.000182F	1255	1334492	EH23a.chr1
I3.000044F	1364	5447211	EH23a.chr3
I3.000525F	1035	135188	EH23a.chr5
I3.000071F	1322	3606985	EH23a.chr5
I3.000512F	1048	186768	EH23a.chr5
I3.000448F	1068	237743	EH23a.chr1
I3.000270F	1172	821293	EH23a.chr1
I3.000380F	1113	421348	EH23a.chr4
I3.000412F	1076	323057	EH23a.chr5
I3.000325F	1124	572544	EH23a.chr5
I3.000371F	1086	408222	EH23a.chr4
I3.000338F	1108	537710	EH23a.chr5
I3.000106F	1227	2611081	EH23a.chr4
I3.000463F	1011	208230	EH23a.chr1
I3.000033F	1290	6515719	EH23a.chr8
I3.000222F	1141	1065302	EH23a.chr5
I3.000234F	1134	1009194	EH23a.chr1
I3.000495F	958	124638	EH23a.chr1
I3.000302F	1091	676150	EH23a.chr4
I3.000408F	1022	303543	EH23a.chr1
I3.000545F	937	110502	EH23a.chr1
I3.000519F	938	115476	EH23a.chr1
I3.000485F	976	187336	EH23a.chr1
I3.000089F	1192	2911113	EH23a.chr2
I3.000172F	1131	1487258	EH23a.chr5
I3.000001F	1333	22485726	EH23a.chr9
I3.000478F	957	199446	EH23a.chr8
I3.000301F	1045	661203	EH23a.chr5
I3.000333F	1031	566362	EH23a.chr5
I3.000133F	1113	2046902	EH23a.chr4
I3.000206F	1030	776964	EH23a.chr1
I3.000213F	1053	1173797	EH23a.chr1
I3.000530F	894	142721	EH23a.chr1
I3.000260F	1024	842228	EH23a.chr3
I3.000339F	982	575464	EH23a.chr4
I3.000137F	1054	1919828	EH23a.chr6
I3.000169F	1038	1575049	EH23a.chr1
I3.000218F	1009	1088904	EH23a.chr8
I3.000341F	917	324676	EH23a.chr8
I3.000320F	959	600046	EH23a.chr2
I3.000326F	952	586762	EH23a.chr5
I3.000173F	1018	1500600	EH23a.chrX
I3.000443F	883	267308	EH23a.chr5
I3.000038F	1055	5675609	EH23a.chr8
I3.000526F	785	114851	EH23a.chr8
I3.000536F	788	141595	EH23a.chr1
I3.000082F	989	3022255	EH23a.chr6
I3.000259F	903	861943	EH23a.chrX
I3.000305F	873	606527	EH23a.chr1
I3.000118F	966	2527257	EH23a.chr1
I3.000323F	846	562937	EH23a.chr1
I3.000464F	774	202385	EH23a.chr9
I3.000289F	854	721585	EH23a.chr4
I3.000111F	921	2419744	EH23a.chr4
I3.000074F	942	3393681	EH23a.chr1
I3.000255F	839	904986	EH23a.chrX
I3.000201F	855	1196351	EH23a.chr6
I3.000212F	852	1152688	EH23a.chr5
I3.000398F	776	362109	EH23a.chr1
I3.000231F	836	1009551	EH23a.chr4
I3.000177F	853	1417925	EH23a.chr4
I3.000194F	827	1223537	EH23a.chrX
I3.000199F	815	1183263	EH23a.chr8
I3.000391F	744	389535	EH23a.chr8
I3.000250F	713	236122	EH23a.chr2
I3.000427F	723	286865	EH23a.chr1
I3.000355F	752	503050	EH23a.chr5
I3.000232F	794	1047640	EH23a.chr5
I3.000441F	704	235030	EH23a.chr4
I3.000062F	844	3970665	EH23a.chr8
I3.000210F	767	1147824	EH23a.chr1
I3.000529F	651	143652	EH23a.chr5
I3.000539F	655	157681	EH23a.chrX
I3.000550F	612	82725	EH23a.chr1
I3.000011F	873	11325635	EH23a.chr4
I3.000042F	834	5521420	EH23a.chr8
I3.000048F	633	132754	EH23a.chr4
I3.000527F	614	132719	EH23a.chr8
I3.000445F	633	204069	EH23a.chr3
I3.000164F	739	1587565	EH23a.chr3
I3.000449F	642	245928	EH23a.chr5
I3.000419F	642	251101	EH23a.chr5
I3.000267F	696	848981	EH23a.chr2
I3.000457F	626	231829	EH23a.chr7
I3.000076F	758	3169498	EH23a.chr8
I3.000195F	694	1286255	EH23a.chr5
I3.000157F	700	1687115	EH23a.chr5
I3.000193F	671	1155550	EH23a.chr4
I3.000072F	712	3508709	EH23a.chr2
I3.000160F	661	1666217	EH23a.chr4
I3.000138F	660	1999134	EH23a.chr1
I3.000208F	631	1204494	EH23a.chr8
I3.000086F	667	2867964	EH23a.chr4
I3.000073F	676	3512161	EH23a.chr9
I3.000430F	562	290006	EH23a.chr1
I3.000367F	575	416066	EH23a.chr1
I3.000063F	675	3990689	EH23a.chr1
I3.000009F	692	11973278	EH23a.chr9
I3.000334F	559	544064	EH23a.chr1
I3.000364F	549	469834	EH23a.chr8
I3.000050F	646	5183555	EH23a.chr5
I3.000246F	570	911916	EH23a.chr8
I3.000105F	601	2638951	EH23a.chr6
I3.000432F	496	260749	EH23a.chr1
I3.000035F	622	6350012	EH23a.chr5
I3.000428F	499	306310	EH23a.chr3
I3.000389F	506	394746	EH23a.chr1
I3.000335F	516	577400	EH23a.chr1
I3.000236F	527	991418	EH23a.chr1
I3.000018F	608	9072229	EH23a.chr5
I3.000168F	533	1526020	EH23a.chr1
I3.000358F	481	490399	EH23a.chr4
I3.000314F	482	578381	EH23a.chr1
I3.000469F	430	143753	EH23a.chr6
I3.000128F	523	2210554	EH23a.chr6
I3.000265F	481	818878	EH23a.chr6
I3.000156F	502	1763466	EH23a.chr1
I3.000559F	403	107785	EH23a.chr8
I3.000501F	421	181279	EH23a.chr1
I3.000274F	466	783796	EH23a.chr1
I3.000146F	484	1980601	EH23a.chr5
I3.000085F	497	2941407	EH23a.chr3
I3.000477F	403	182601	EH23a.chr1
I3.000360F	434	464355	EH23a.chr1
I3.000558F	372	75708	EH23a.chr1
I3.000344F	430	512177	EH23a.chr5
I3.000417F	402	263587	EH23a.chr6
I3.000253F	437	859375	EH23a.chr4
I3.000266F	434	852018	EH23a.chr6
I3.000094F	468	2841579	EH23a.chr3
I3.000438F	387	220670	EH23a.chr4
I3.000230F	383	224268	EH23a.chr5
I3.000104F	459	2613810	EH23a.chr4
I3.000471F	372	165276	EH23a.chr4
I3.000280F	410	783404	EH23a.chr4
I3.000190F	424	1274626	EH23a.chr4
I3.000170F	422	1574390	EH23a.chr4
I3.000176F	405	1476006	EH23a.chr3
I3.000410F	359	322685	EH23a.chr4
I3.000013F	455	10577276	EH23a.chr6
I3.000228F	379	1010258	EH23a.chrX
I3.000315F	363	605896	EH23a.chr9
I3.000140F	392	1897627	EH23a.chr4
I3.000045F	416	5537704	EH23a.chr3
I3.000409F	338	301782	EH23a.chr1
I3.000024F	406	8435080	EH23a.chr5
I3.000116F	372	2461400	EH23a.chr5
I3.000318F	328	575224	EH23a.chr5
I3.000400F	310	331916	EH23a.chr3
I3.000403F	311	354225	EH23a.chr3
I3.000039F	372	5663014	EH23a.chr8
I3.000507F	279	132651	EH23a.chr4
I3.000561F	260	73931	EH23a.chr1
I3.000056F	355	4483779	EH23a.chr5
I3.000484F	279	177854	EH23a.chr8
I3.000476F	279	188824	EH23a.chr1
I3.000017F	294	437411	EH23a.chr3
I3.000422F	281	262069	EH23a.chr8
I3.000569F	248	62680	EH23a.chr1
I3.000347F	294	515177	EH23a.chr1
I3.000181F	315	1319849	EH23a.chr1
I3.000154F	319	1648633	EH23a.chr3
I3.000332F	293	538576	EH23a.chr4
I3.000287F	293	750776	EH23a.chr7
I3.000153F	310	1651595	EH23a.chr8
I3.000057F	326	4330014	EH23a.chr4
I3.000159F	301	1657581	EH23a.chr2
I3.000329F	275	548782	EH23a.chr1
I3.000483F	248	185807	EH23a.chr8
I3.000286F	275	750737	EH23a.chr6
I3.000458F	248	220900	EH23a.chrX
I3.000207F	279	1133799	EH23a.chr5
I3.000340F	256	556045	EH23a.chr4
I3.573	217	86596	EH23a.chr2
I3.000147F	267	1826006	EH23a.chr8
I3.000295F	248	670200	EH23a.chr5
I3.000243F	251	935928	EH23a.chr5
I3.000058F	266	4353788	EH23a.chrX
I3.000429F	210	233428	EH23a.chr8
I3.000051F	258	5219871	EH23a.chr9
I3.000293F	225	747145	EH23a.chr1
I3.000002F	275	17469247	EH23a.chr6
I3.000022F	263	8448405	EH23a.chr2
I3.000276F	220	811425	EH23a.chr5
I3.000241F	221	953180	EH23a.chr3
I3.000041F	248	5627041	EH23a.chr9
I3.000061F	225	4000606	EH23a.chrX
I3.000093F	203	2826573	EH23a.chr5
I3.000130F	199	2113643	EH23a.chr5
I3.000209F	186	1137458	EH23a.chr8
I3.000143F	186	1833821	EH23a.chr8
I3.000372F	158	294806	EH23a.chr1
I3.000096F	186	2816889	EH23a.chr5
I3.000204F	174	1153166	EH23a.chr5
I3.000414F	155	305827	EH23a.chr1
I3.000030F	187	7102595	EH23a.chrX
I3.000214F	159	1120611	EH23a.chr5
I3.000219F	155	1086491	EH23a.chr5
I3.000171F	155	1463609	EH23a.chr6
I3.000126F	155	2184300	EH23a.chr3
I3.000080F	155	3117253	EH23a.chr6
I3.000437F	124	222995	EH23a.chrX
I3.000049F	155	5341814	EH23a.chr5
I3.000046F	155	5434765	EH23a.chr4
I3.000384F	126	351526	EH23a.chr1
I3.000395F	124	315676	EH23a.chr8
I3.000486F	113	178190	EH23a.chr4
I3.000127F	134	2224920	EH23a.chr5
I3.000433F	114	299305	EH23a.chr1
I3.000167F	124	1521502	EH23a.chr3
I3.000149F	124	1792025	EH23a.chr4
I3.000393F	104	332600	EH23a.chr4
I3.000008F	130	12548763	EH23a.chr9
I3.000451F	93	182340	EH23a.chr5
I3.000349F	93	509359	EH23a.chr1
I3.000351F	93	520584	EH23a.chr1
I3.000324F	93	607316	EH23a.chr9
I3.000273F	93	764152	EH23a.chr1
I3.000268F	93	846651	EH23a.chr8
I3.000269F	93	854117	EH23a.chr1
I3.000251F	93	868820	EH23a.chr6
I3.000229F	93	1023605	EH23a.chr1
I3.579	72	46560	EH23a.chrX
I3.000205F	93	1192400	EH23a.chr3
I3.000109F	96	2547390	EH23a.chr4
I3.000142F	93	1893699	EH23a.chr8
I3.000129F	93	2176753	EH23a.chr1
I3.000107F	93	2658750	EH23a.chr4
I3.000090F	93	2872623	EH23a.chr5
I3.000546F	62	68508	EH23a.chr8
I3.000502F	64	159036	EH23a.chr5
I3.000263F	70	809104	EH23a.chr1
I3.000439F	62	263395	EH23a.chr1
I3.000317F	64	578874	EH23a.chr7
I3.000572F	43	7537	EH23a.chr1
I3.000354F	62	487609	EH23a.chr1
I3.000308F	62	647912	EH23a.chr3
I3.000300F	62	706959	EH23a.chr7
I3.000292F	62	718442	EH23a.chr1
I3.000264F	62	789473	EH23a.chr2
I3.000227F	62	1021081	EH23a.chr1
I3.000217F	62	1086286	EH23a.chr3
I3.000179F	62	1424768	EH23a.chr3
I3.000110F	62	2590913	EH23a.chr2
I3.000081F	62	3108705	EH23a.chr5
I3.000034F	62	6299512	EH23a.chr3
I3.000511F	41	128455	EH23a.chr4
I3.000552F	37	69725	EH23a.chr5
I3.000407F	39	283816	EH23a.chr8
I3.000564F	31	34032	EH23a.chr1
I3.000336F	35	513771	EH23a.chr4
I3.000496F	31	128110	EH23a.chr5
I3.000503F	31	150849	EH23a.chr5
I3.000480F	31	158619	EH23a.chr1
I3.000493F	31	160748	EH23a.chr2
I3.000482F	31	161570	EH23a.chr1
I3.000466F	31	188629	EH23a.chr5
I3.000454F	31	190440	EH23a.chr1
I3.000452F	31	209595	EH23a.chr1
I3.000416F	31	259244	EH23a.chr1
I3.000388F	31	382834	EH23a.chr4
I3.000370F	31	401631	EH23a.chr6
I3.000303F	32	614329	EH23a.chr4
I3.000350F	31	475388	EH23a.chr4
I3.000343F	31	495658	EH23a.chr4
I3.000353F	31	495901	EH23a.chr9
I3.000330F	31	562930	EH23a.chr6
I3.000327F	31	593228	EH23a.chr8
I3.000307F	31	599268	EH23a.chr1
I3.000306F	31	621408	EH23a.chr3
I3.000271F	31	794638	EH23a.chr4
I3.000249F	31	862766	EH23a.chr4
I3.000244F	31	959668	EH23a.chr7
I3.000225F	31	1090076	EH23a.chr1
I3.000196F	31	1197534	EH23a.chr6
I3.000191F	31	1264039	EH23a.chr4
I3.000187F	31	1282737	EH23a.chr5
I3.000151F	31	1688122	EH23a.chr1
I3.000150F	31	1733798	EH23a.chr3
I3.000144F	31	1883447	EH23a.chr2
I3.000122F	31	2312420	EH23a.chr4
